City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
38,Puerto Ayora,EC,-0.7393,-90.3518,80.56,89,35,5.99,scattered clouds
39,Lorengau,PG,-2.0226,147.2712,81.77,74,92,5.61,overcast clouds
40,Torbay,CA,47.6666,-52.7314,47.28,86,91,4.0,overcast clouds
41,Iranshahr,IR,27.2025,60.6848,90.61,45,0,6.46,clear sky
42,Jamestown,US,42.097,-79.2353,83.52,50,1,6.91,clear sky
43,Casselman,CA,45.3168,-75.0826,86.04,74,26,15.08,scattered clouds
44,Tiksi,RU,71.6872,128.8694,44.6,62,100,1.45,overcast clouds
45,Pindwara,IN,24.8,73.0667,81.54,57,41,5.06,scattered clouds
46,Krasnoselkup,RU,65.7,82.4667,32.77,80,41,7.02,scattered clouds
47,Yellowknife,CA,62.456,-114.3525,50.32,55,100,5.99,overcast clouds
48,Bluff,NZ,-46.6,168.3333,49.8,85,66,9.24,broken clouds
49,Dunedin,NZ,-45.8742,170.5036,49.8,89,98,1.99,overcast clouds
50,Tahta,EG,26.7693,31.5021,79.34,22,5,14.05,clear sky
51,Mahebourg,MU,-20.4081,57.7,71.26,83,36,12.62,light rain
52,Sisimiut,GL,66.9395,-53.6735,43.0,82,100,3.18,overcast clouds
53,Otradnoye,RU,59.7775,30.8181,60.85,80,70,3.42,broken clouds
54,Grindavik,IS,63.8424,-22.4338,48.67,87,75,14.79,broken clouds
55,Ponta Do Sol,PT,32.6667,-17.1,66.83,75,3,4.79,clear sky
56,Tasiilaq,GL,65.6145,-37.6368,41.16,91,98,5.12,overcast clouds
57,Asau,RO,46.4333,26.4,55.96,80,4,4.63,clear sky
58,Tuktoyaktuk,CA,69.4541,-133.0374,36.72,74,14,10.85,few clouds
59,Upernavik,GL,72.7868,-56.1549,37.89,84,70,3.83,broken clouds
60,Catamarca,AR,-28.4696,-65.7852,64.49,69,26,6.85,scattered clouds
61,Norman Wells,CA,65.282,-126.8329,48.24,81,75,4.61,broken clouds
62,Balaghat,IN,21.8,80.1833,84.2,55,5,1.99,clear sky
63,Mountain Home,US,43.133,-115.6912,76.95,14,1,3.24,clear sky
64,Vaini,TO,-21.2,-175.2,77.16,78,75,13.8,broken clouds
65,Port Elizabeth,ZA,-33.918,25.5701,63.3,27,0,10.16,clear sky
66,Vallenar,CL,-28.5708,-70.7581,64.09,54,0,4.36,clear sky
67,East London,ZA,-33.0153,27.9116,62.58,39,0,9.62,clear sky
68,Tuatapere,NZ,-46.1333,167.6833,49.82,86,20,4.18,few clouds
69,Avarua,CK,-21.2078,-159.775,78.85,57,75,3.44,broken clouds
70,Coihaique,CL,-45.5752,-72.0662,44.55,76,75,6.91,light rain
71,Vostok,RU,46.4856,135.8833,55.89,70,79,3.22,broken clouds
72,Chuy,UY,-33.6971,-53.4616,50.77,79,98,5.32,overcast clouds
73,Luganville,VU,-15.5333,167.1667,77.4,83,100,11.36,overcast clouds
74,Taoudenni,ML,22.6783,-3.9836,103.03,8,89,3.96,overcast clouds
75,Kapaa,US,22.0752,-159.319,82.72,69,40,4.0,scattered clouds
76,Providencia,MX,28.7167,-111.5833,102.61,22,11,8.99,few clouds
77,Bardiyah,LY,31.7561,25.0865,69.73,75,1,8.93,clear sky
78,Pisco,PE,-13.7,-76.2167,66.02,77,0,8.05,clear sky
79,Paamiut,GL,61.994,-49.6678,38.21,98,100,1.5,moderate rain
80,Hithadhoo,MV,-0.6,73.0833,82.65,73,9,12.03,clear sky
81,Labuhan,ID,-6.8844,112.2051,77.27,87,16,5.73,few clouds
82,Sandnessjoen,NO,66.0217,12.6316,59.58,94,100,12.08,heavy intensity rain
83,Dalby,AU,-27.1833,151.2667,53.98,69,0,3.36,clear sky
84,Kapuskasing,CA,49.4169,-82.4331,85.84,45,99,12.03,overcast clouds
85,Makakilo City,US,21.3469,-158.0858,82.72,53,40,12.66,scattered clouds
86,Guerrero Negro,MX,27.9769,-114.0611,71.19,57,83,16.11,broken clouds
87,Bethel,US,41.3712,-73.414,92.48,51,1,9.22,clear sky
88,Ribeira Grande,PT,38.5167,-28.7,65.21,87,100,7.72,overcast clouds
89,Adrar,MR,20.5022,-10.0711,96.75,12,86,12.71,overcast clouds
90,Lebu,CL,-37.6167,-73.65,49.46,77,96,3.38,overcast clouds
91,Cabo San Lucas,MX,22.8909,-109.9124,100.81,45,1,10.36,clear sky
92,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,85,99,2.73,overcast clouds
93,Bassano,CA,50.7834,-112.4685,62.64,35,78,5.57,broken clouds
94,Ilo,PE,-17.6394,-71.3375,63.12,82,17,4.97,few clouds
95,Hofn,IS,64.2539,-15.2082,47.1,95,94,12.33,overcast clouds
96,Hasaki,JP,35.7333,140.8333,70.29,84,100,1.79,overcast clouds
97,Kalmunai,LK,7.4167,81.8167,80.76,78,97,3.15,overcast clouds
98,Leningradskiy,RU,69.3833,178.4167,40.57,77,14,13.73,few clouds
99,Kahului,US,20.8947,-156.47,86.02,66,20,26.46,few clouds
100,Barrow,US,71.2906,-156.7887,32.02,86,90,13.8,mist
101,West Lafayette,US,40.4259,-86.9081,83.71,56,92,8.01,overcast clouds
102,Salalah,OM,17.0151,54.0924,84.29,89,75,8.05,broken clouds
103,Bachaquero,VE,9.9694,-71.1494,81.37,73,100,3.36,overcast clouds
104,Saskylakh,RU,71.9167,114.0833,38.26,60,72,4.29,broken clouds
105,Havre,FR,49.5833,0.3333,55.44,94,0,2.91,clear sky
106,Cidreira,BR,-30.1811,-50.2056,63.14,76,100,10.98,overcast clouds
107,Grand Baie,MU,-20.0182,57.5802,71.46,84,10,1.99,clear sky
108,Chongwe,ZM,-15.3292,28.682,53.56,70,54,8.12,broken clouds
109,Charapan,MX,19.6667,-102.2333,63.99,81,100,4.16,overcast clouds
110,Khatanga,RU,71.9667,102.5,33.93,93,96,6.98,overcast clouds
111,Okha,RU,53.5739,142.9478,36.63,97,100,13.6,overcast clouds
112,Maraa,BR,-1.8333,-65.3667,76.62,94,99,2.44,overcast clouds
113,Ancud,CL,-41.8697,-73.8203,52.23,83,100,16.13,light rain
114,Nouadhibou,MR,20.931,-17.0347,66.34,84,93,23.94,overcast clouds
115,Georgetown,MY,5.4112,100.3354,79.9,90,20,2.39,few clouds
116,Laguna,US,38.421,-121.4238,94.44,30,1,5.99,clear sky
117,Luderitz,NA,-26.6481,15.1594,69.28,31,0,9.31,clear sky
118,Shitanjing,CN,39.2342,106.3439,64.67,51,90,9.06,overcast clouds
119,Bowen,AU,-20.0167,148.2333,65.82,77,86,10.76,overcast clouds
120,Pecos,US,31.4229,-103.4932,102.29,10,1,4.61,clear sky
121,Cape Town,ZA,-33.9258,18.4232,72.01,27,0,12.48,clear sky
122,College,US,64.8569,-147.8028,69.75,37,75,5.75,broken clouds
123,Seymchan,RU,62.8833,152.4333,56.21,53,94,9.08,overcast clouds
124,Yining,CN,29.0361,114.5636,68.18,81,100,0.65,overcast clouds
125,Nyurba,RU,63.2842,118.3319,47.97,74,100,10.42,light rain
126,Batagay-Alyta,RU,67.8006,130.4114,47.17,60,95,5.17,overcast clouds
127,Oktyabrskiy,RU,54.4815,53.471,54.16,78,4,1.77,clear sky
128,Bonthe,SL,7.5264,-12.505,80.08,87,99,6.62,light rain
129,Arraial Do Cabo,BR,-22.9661,-42.0278,74.93,84,100,19.8,overcast clouds
130,Ust-Uda,RU,54.1742,103.0304,44.02,91,37,3.44,scattered clouds
131,Xinmin,CN,41.9908,122.8253,62.85,61,0,5.41,clear sky
132,Tiznit,MA,29.5833,-9.5,69.76,62,100,1.83,overcast clouds
133,Tamuin,MX,21.9833,-98.75,103.86,26,38,9.31,scattered clouds
134,Batagay,RU,67.6333,134.6333,52.16,43,81,6.8,broken clouds
135,Pangnirtung,CA,66.1451,-65.7125,34.27,90,21,3.49,few clouds
136,Puro,PH,12.4841,123.3827,80.38,83,100,5.86,light rain
137,Tual,ID,-5.6667,132.75,81.27,77,100,14.99,overcast clouds
138,Uyskoye,RU,54.3775,60.0047,53.67,58,55,3.04,broken clouds
139,San Cristobal,VE,7.7669,-72.225,73.58,92,100,2.95,overcast clouds
140,Thompson,CA,55.7435,-97.8558,69.57,48,100,8.59,overcast clouds
141,Floro,NO,61.5996,5.0328,55.47,87,20,8.05,few clouds
142,Lompoc,US,34.6391,-120.4579,77.68,74,90,5.99,overcast clouds
143,Victoria,HK,22.2855,114.1577,82.38,87,41,5.01,scattered clouds
144,Svetlyy,RU,54.675,20.1347,51.85,71,59,4.81,broken clouds
145,Constitucion,CL,-35.3333,-72.4167,52.45,71,100,8.79,overcast clouds
146,Valparaiso,CL,-33.0393,-71.6273,55.47,64,0,5.75,clear sky
147,Balykshi,KZ,47.0667,51.8667,62.6,42,40,2.24,scattered clouds
148,Yar-Sale,RU,66.8333,70.8333,34.56,90,57,8.79,broken clouds
149,Sri Aman,MY,1.2376,111.4621,72.43,98,100,1.92,overcast clouds
150,Jena,DE,50.9333,11.5833,65.73,86,100,1.01,overcast clouds
151,Bonfim,BR,3.0833,-59.95,79.41,80,64,6.06,broken clouds
152,Gat,IL,31.61,34.7642,70.48,72,0,1.66,clear sky
153,Sutton Coldfield,GB,52.5667,-1.8167,60.53,91,40,2.3,scattered clouds
154,Abapo,BO,-18.8333,-63.4667,66.83,74,82,3.0,broken clouds
155,Bambous Virieux,MU,-20.3428,57.7575,71.22,83,32,12.71,light rain
156,Port Lincoln,AU,-34.7333,135.8667,60.46,49,99,24.23,overcast clouds
157,Butaritari,KI,3.0707,172.7902,82.4,73,13,7.96,light rain
158,Lavrentiya,RU,65.5833,-171.0,34.61,92,100,3.6,light rain
