City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
513,Grajau,BR,79.29,scattered clouds,-5.8194,-46.1386,Hotel Confiança
516,Caravelas,BR,72.84,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
518,Nailon,PH,79.54,overcast clouds,11.0521,124.0385,Acrige Apartelle 2 pax Twin @ heart of Bogo City
520,Cerritos,US,85.64,clear sky,33.8583,-118.0648,Sheraton Cerritos Hotel
521,Palamos,ES,67.98,scattered clouds,41.8484,3.1291,Hotel Aubi
522,Datong,CN,67.28,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
524,Lochem,NL,60.73,clear sky,52.1592,6.4111,Fletcher Hotel-Restaurant De Scheperskamp
525,Quepos,CR,88.05,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
527,Malakal,SS,78.03,overcast clouds,9.5334,31.6605,Nile Palace Hotel
528,Lucea,JM,78.85,scattered clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
530,Platteville,US,88.65,broken clouds,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
532,San Simon De La Laguna,MX,78.24,light rain,19.3,-100.0833,Familia Vega Primo
534,Vostochnyy,RU,61.11,overcast clouds,55.8167,37.8667,MarianHall
537,Sibu,MY,72.39,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
540,Goderich,CA,71.71,few clouds,43.7501,-81.7165,Harmony Inn
543,Caucaia,BR,82.04,clear sky,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
545,Katsuura,JP,73.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
550,Atambua,ID,68.2,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
551,Biltine,TD,89.65,broken clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
552,Horsham,GB,62.31,clear sky,51.064,-0.3272,Springfields Hotel
554,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Poutur Pousada
556,Carutapera,BR,75.24,heavy intensity rain,-1.195,-46.02,Lidera
557,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
558,Peniche,PT,62.08,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
560,Jaisinghnagar,IN,87.49,broken clouds,23.7,81.3833,Sonu Up Dhawa
561,Waynesville,US,78.73,overcast clouds,35.4887,-82.9887,Best Western Smoky Mountain Inn
563,Chanderi,IN,88.25,broken clouds,24.7167,78.1333,SHRIKUNJ - Hotel and Restaurant
564,Liaqatabad,PK,89.64,haze,31.5647,74.3029,"Hotel One Down Town, Lahore"
565,Kuching,MY,73.62,few clouds,1.55,110.3333,The Ranee Boutique Suites
567,Washougal,US,64.83,overcast clouds,45.5826,-122.3534,Camas Hotel & Suites Portland - Vancouver
568,Ponta Delgada,PT,65.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
569,Gondar,ET,68.41,overcast clouds,12.6,37.4667,L Shape Hotel
571,Pozo Colorado,PY,73.26,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
572,San Francisco Menendez,SV,82.81,overcast clouds,13.8431,-90.0158,Casco de la finca Estasuche
573,Punta De Piedra,VE,73.17,overcast clouds,7.6176,-71.4916,Casa 7 Punta de Piedra
574,Puerto Del Rosario,ES,69.55,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
575,Galesong,ID,71.62,few clouds,-5.3166,119.3661,Sapriadi Appy
576,Thap Khlo,TH,79.45,light rain,16.16,100.5966,Khao Sai Country Club Golf Course
577,Sijunjung,ID,68.41,overcast clouds,-0.6876,100.9537,Hotel Bukik Gadang
579,Reading,GB,63.01,clear sky,51.4562,-0.9711,The Roseate Reading
580,Ormara,PK,83.17,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
